Frase,Item,Grupo
Henrique dançou muito de noite na matine.,ItemE,3
Luan jogou videogame a tarde.,ItemE,3
Luiz assistiu o filme no cinema.,ItemE,3
Augusto comprou os tênis novos da loja.,ItemE,3
Antonio escreveu um livro de poemas.,ItemE,3
Rosa chegou atrasada no trabalho.,ItemE,3
Jurema passeou a tarde no parque.,ItemE,3
Tiago assistiu as aulas do curso.,ItemE,3
Mariluce tomou a vacina de manha.,ItemE,3
Cesár bebeu muito de noite na balada.,ItemE,3
Chico traiu sua namorada de novo.,ItemE,3
Gabriela escreveu cartas para amigos.,ItemE,3
Fernando abraçou a velha de bengala.,ItemE,3
Ronivon revelou sua nova canção de amor. ,ItemE,3
Tadeu abriu um novo escritório.,ItemE,3
Vitoria atuou na peça de teatro.,ItemE,3
Amanda ganhou o campeonato de corrida.,ItemE,3
Eliezer descobriu a fofoca de Ana.,ItemE,3
Adrianne cozinhou uma receita nova.,ItemE,3
Antonia beijou seu pretendente na festa.,ItemE,3
Fernanda brigou de faca na disputa.,ItemE,4
Matheus emprestou dinheiro pro agiota.,ItemE,4
Aime sonhou com ovelhas de noite.,ItemE,4
Pedro apostou no cavalo mais bonito.,ItemE,4
Anderson leu muito para a prova de hoje.,ItemE,4
Patricia concorreu a vaga de emprego.,ItemE,4
André foi promovido no exército ontem.,ItemE,4
Sueli caiu na rua da igreja de manhã.,ItemE,4
Fátima ganhou um premio no bingo.,ItemE,4
Juliete foi convidada para a festa.,ItemE,4
Xuxa lançou musicas novas de madrugada.,ItemE,4
Flávio fez um gol na partida de ontem.,ItemE,4
Henrique dançou muito de noite na matine.,ItemE,4
Luan jogou videogame a tarde.,ItemE,4
Luiz assistiu o filme no cinema.,ItemE,4
Augusto comprou os tênis novos da loja.,ItemE,4
Antonio escreveu um livro de poemas.,ItemE,4
Rosa chegou atrasada no trabalho.,ItemE,4
Jurema passeou a tarde no parque.,ItemE,4
Tiago assistiu as aulas do curso.,ItemE,4
Mariluce tomou a vacina de manha.,ItemE,4
Cesár bebeu muito de noite na balada.,ItemE,4
Chico traiu sua namorada de novo.,ItemE,4
Gabriela escreveu cartas para amigos.,ItemE,4
Fernando abraçou a velha de bengala.,ItemE,4
Ronivon revelou sua nova canção de amor. ,ItemE,4
Tadeu abriu um novo escritório.,ItemE,4
Vitoria atuou na peça de teatro.,ItemE,4
Amanda ganhou o campeonato de corrida.,ItemE,4
Eliezer descobriu a fofoca de Ana.,ItemE,4
Adrianne cozinhou uma receita nova.,ItemE,4
Antonia beijou seu pretendente na festa.,ItemE,4
